"Station","date-","Daily Rainfall (mm)"
"Haifa University Man 10/1975-04/2023","03/01/2000","22.0"
"Haifa University Man 10/1975-04/2023","04/01/2000","43.0"
"Haifa University Man 10/1975-04/2023","05/01/2000","54.4"
"Haifa University Man 10/1975-04/2023","06/01/2000","3.6"
"Haifa University Man 10/1975-04/2023","07/01/2000","4.2"
"Haifa University Man 10/1975-04/2023","08/01/2000","14.0"
"Haifa University Man 10/1975-04/2023","09/01/2000","5.4"
"Haifa University Man 10/1975-04/2023","10/01/2000","1.7"
"Haifa University Man 10/1975-04/2023","12/01/2000","0.3"
"Haifa University Man 10/1975-04/2023","18/01/2000","20.3"
"Haifa University Man 10/1975-04/2023","19/01/2000","10.8"
"Haifa University Man 10/1975-04/2023","20/01/2000","30.5"
"Haifa University Man 10/1975-04/2023","21/01/2000","14.5"
"Haifa University Man 10/1975-04/2023","22/01/2000","19.2"
"Haifa University Man 10/1975-04/2023","23/01/2000","21.0"
"Haifa University Man 10/1975-04/2023","25/01/2000","15.2"
"Haifa University Man 10/1975-04/2023","26/01/2000","16.1"
"Haifa University Man 10/1975-04/2023","27/01/2000","69.0"
"Haifa University Man 10/1975-04/2023","28/01/2000","19.3"
"Haifa University Man 10/1975-04/2023","05/02/2000","3.2"
"Haifa University Man 10/1975-04/2023","12/02/2000","8.9"
"Haifa University Man 10/1975-04/2023","13/02/2000","10.0"
"Haifa University Man 10/1975-04/2023","14/02/2000","0.8"
"Haifa University Man 10/1975-04/2023","15/02/2000","28.4"
"Haifa University Man 10/1975-04/2023","16/02/2000","5.9"
"Haifa University Man 10/1975-04/2023","19/02/2000","0.9"
"Haifa University Man 10/1975-04/2023","22/02/2000","1.6"
"Haifa University Man 10/1975-04/2023","23/02/2000","2.4"
"Haifa University Man 10/1975-04/2023","24/02/2000","1.0"
"Haifa University Man 10/1975-04/2023","26/02/2000","2.0"
"Haifa University Man 10/1975-04/2023","29/02/2000","6.1"
"Haifa University Man 10/1975-04/2023","01/03/2000","10.1"
"Haifa University Man 10/1975-04/2023","04/03/2000","20.0"
"Haifa University Man 10/1975-04/2023","06/03/2000","3.5"
"Haifa University Man 10/1975-04/2023","11/03/2000","2.1"
"Haifa University Man 10/1975-04/2023","21/03/2000","6.1"
"Haifa University Man 10/1975-04/2023","22/03/2000","10.0"
"Haifa University Man 10/1975-04/2023","23/03/2000","14.0"
"Haifa University Man 10/1975-04/2023","09/04/2000","2.0"
"Haifa University Man 10/1975-04/2023","13/09/2000","1.5"
"Haifa University Man 10/1975-04/2023","28/09/2000","1.0"
"Haifa University Man 10/1975-04/2023","29/09/2000","7.2"
"Haifa University Man 10/1975-04/2023","13/10/2000","1.0"
"Haifa University Man 10/1975-04/2023","22/10/2000","3.0"
"Haifa University Man 10/1975-04/2023","23/10/2000","28.1"
"Haifa University Man 10/1975-04/2023","24/10/2000","25.7"
"Haifa University Man 10/1975-04/2023","25/10/2000","12.3"
"Haifa University Man 10/1975-04/2023","30/10/2000","0.5"
"Haifa University Man 10/1975-04/2023","31/10/2000","2.4"
"Haifa University Man 10/1975-04/2023","18/11/2000","1.5"
"Haifa University Man 10/1975-04/2023","28/11/2000","3.3"
"Haifa University Man 10/1975-04/2023","29/11/2000","73.2"
"Haifa University Man 10/1975-04/2023","30/11/2000","44.5"
"Haifa University Man 10/1975-04/2023","08/12/2000","10.1"
"Haifa University Man 10/1975-04/2023","09/12/2000","3.8"
"Haifa University Man 10/1975-04/2023","10/12/2000","2.1"
"Haifa University Man 10/1975-04/2023","11/12/2000","14.9"
"Haifa University Man 10/1975-04/2023","12/12/2000","21.1"
"Haifa University Man 10/1975-04/2023","13/12/2000","3.4"
"Haifa University Man 10/1975-04/2023","14/12/2000","0.2"
"Haifa University Man 10/1975-04/2023","18/12/2000","0.5"
"Haifa University Man 10/1975-04/2023","19/12/2000","62.1"
"Haifa University Man 10/1975-04/2023","20/12/2000","3.7"
"Haifa University Man 10/1975-04/2023","23/12/2000","1.2"
"Haifa University Man 10/1975-04/2023","24/12/2000","36.0"
"Haifa University Man 10/1975-04/2023","25/12/2000","1.4"
"Haifa University Man 10/1975-04/2023","02/01/2001","4.5"
"Haifa University Man 10/1975-04/2023","03/01/2001","10.2"
"Haifa University Man 10/1975-04/2023","18/01/2001","49.5"
"Haifa University Man 10/1975-04/2023","19/01/2001","14.7"
"Haifa University Man 10/1975-04/2023","20/01/2001","1.7"
"Haifa University Man 10/1975-04/2023","22/01/2001","1.1"
"Haifa University Man 10/1975-04/2023","23/01/2001","20.7"
"Haifa University Man 10/1975-04/2023","24/01/2001","21.8"
"Haifa University Man 10/1975-04/2023","25/01/2001","1.8"
"Haifa University Man 10/1975-04/2023","03/02/2001","19.2"
"Haifa University Man 10/1975-04/2023","04/02/2001","4.7"
"Haifa University Man 10/1975-04/2023","07/02/2001","14.5"
"Haifa University Man 10/1975-04/2023","13/02/2001","0.5"
"Haifa University Man 10/1975-04/2023","14/02/2001","15.8"
"Haifa University Man 10/1975-04/2023","15/02/2001","1.7"
"Haifa University Man 10/1975-04/2023","16/02/2001","7.4"
"Haifa University Man 10/1975-04/2023","17/02/2001","10.0"
"Haifa University Man 10/1975-04/2023","18/02/2001","0.1"
"Haifa University Man 10/1975-04/2023","19/02/2001","4.8"
"Haifa University Man 10/1975-04/2023","20/02/2001","11.6"
"Haifa University Man 10/1975-04/2023","21/02/2001","2.8"
"Haifa University Man 10/1975-04/2023","22/02/2001","3.2"
"Haifa University Man 10/1975-04/2023","23/02/2001","3.3"
"Haifa University Man 10/1975-04/2023","09/03/2001","0.2"
"Haifa University Man 10/1975-04/2023","13/03/2001","22.4"
"Haifa University Man 10/1975-04/2023","23/03/2001","2.9"
"Haifa University Man 10/1975-04/2023","24/03/2001","0.1"
"Haifa University Man 10/1975-04/2023","07/04/2001","4.6"
"Haifa University Man 10/1975-04/2023","08/04/2001","0.5"
"Haifa University Man 10/1975-04/2023","01/05/2001","16.2"
"Haifa University Man 10/1975-04/2023","21/10/2001","1.4"
"Haifa University Man 10/1975-04/2023","24/10/2001","0.2"
"Haifa University Man 10/1975-04/2023","25/10/2001","0.2"
"Haifa University Man 10/1975-04/2023","26/10/2001","4.2"
"Haifa University Man 10/1975-04/2023","27/10/2001","5.4"
"Haifa University Man 10/1975-04/2023","28/10/2001","6.0"
"Haifa University Man 10/1975-04/2023","29/10/2001","1.7"
"Haifa University Man 10/1975-04/2023","02/11/2001","2.2"
"Haifa University Man 10/1975-04/2023","03/11/2001","2.5"
"Haifa University Man 10/1975-04/2023","05/11/2001","0.4"
"Haifa University Man 10/1975-04/2023","06/11/2001","1.2"
"Haifa University Man 10/1975-04/2023","09/11/2001","0.1"
"Haifa University Man 10/1975-04/2023","10/11/2001","0.2"
"Haifa University Man 10/1975-04/2023","11/11/2001","4.8"
"Haifa University Man 10/1975-04/2023","15/11/2001","0.3"
"Haifa University Man 10/1975-04/2023","16/11/2001","0.8"
"Haifa University Man 10/1975-04/2023","17/11/2001","5.7"
"Haifa University Man 10/1975-04/2023","21/11/2001","5.5"
"Haifa University Man 10/1975-04/2023","25/11/2001","16.9"
"Haifa University Man 10/1975-04/2023","26/11/2001","1.3"
"Haifa University Man 10/1975-04/2023","30/11/2001","102.9"
"Haifa University Man 10/1975-04/2023","01/12/2001","35.0"
"Haifa University Man 10/1975-04/2023","02/12/2001","3.6"
"Haifa University Man 10/1975-04/2023","03/12/2001","51.1"
"Haifa University Man 10/1975-04/2023","04/12/2001","36.0"
"Haifa University Man 10/1975-04/2023","05/12/2001","38.0"
"Haifa University Man 10/1975-04/2023","06/12/2001","30.6"
"Haifa University Man 10/1975-04/2023","07/12/2001","2.1"
"Haifa University Man 10/1975-04/2023","12/12/2001","2.0"
"Haifa University Man 10/1975-04/2023","13/12/2001","0.4"
"Haifa University Man 10/1975-04/2023","14/12/2001","36.0"
"Haifa University Man 10/1975-04/2023","18/12/2001","23.1"
"Haifa University Man 10/1975-04/2023","19/12/2001","30.0"
"Haifa University Man 10/1975-04/2023","20/12/2001","0.8"
"Haifa University Man 10/1975-04/2023","23/12/2001","2.6"
"Haifa University Man 10/1975-04/2023","26/12/2001","0.0"
"Haifa University Man 10/1975-04/2023","29/12/2001","0.6"
"Haifa University Man 10/1975-04/2023","02/01/2002","28.6"
"Haifa University Man 10/1975-04/2023","03/01/2002","1.6"
"Haifa University Man 10/1975-04/2023","06/01/2002","61.3"
"Haifa University Man 10/1975-04/2023","07/01/2002","20.6"
"Haifa University Man 10/1975-04/2023","08/01/2002","15.3"
"Haifa University Man 10/1975-04/2023","09/01/2002","14.3"
"Haifa University Man 10/1975-04/2023","11/01/2002","7.9"
"Haifa University Man 10/1975-04/2023","19/01/2002","3.9"
"Haifa University Man 10/1975-04/2023","20/01/2002","17.2"
"Haifa University Man 10/1975-04/2023","21/01/2002","0.9"
"Haifa University Man 10/1975-04/2023","22/01/2002","6.3"
"Haifa University Man 10/1975-04/2023","27/01/2002","4.3"
"Haifa University Man 10/1975-04/2023","28/01/2002","6.0"
"Haifa University Man 10/1975-04/2023","29/01/2002","0.7"
"Haifa University Man 10/1975-04/2023","10/02/2002","18.7"
"Haifa University Man 10/1975-04/2023","11/02/2002","17.2"
"Haifa University Man 10/1975-04/2023","12/02/2002","56.5"
"Haifa University Man 10/1975-04/2023","13/02/2002","1.2"
"Haifa University Man 10/1975-04/2023","24/02/2002","9.1"
"Haifa University Man 10/1975-04/2023","13/03/2002","0.3"
"Haifa University Man 10/1975-04/2023","19/03/2002","0.1"
"Haifa University Man 10/1975-04/2023","20/03/2002","20.8"
"Haifa University Man 10/1975-04/2023","21/03/2002","6.2"
"Haifa University Man 10/1975-04/2023","25/03/2002","19.2"
"Haifa University Man 10/1975-04/2023","26/03/2002","13.9"
"Haifa University Man 10/1975-04/2023","27/03/2002","20.0"
"Haifa University Man 10/1975-04/2023","28/03/2002","23.6"
"Haifa University Man 10/1975-04/2023","29/03/2002","5.2"
"Haifa University Man 10/1975-04/2023","30/03/2002","0.2"
"Haifa University Man 10/1975-04/2023","01/04/2002","15.0"
"Haifa University Man 10/1975-04/2023","02/04/2002","14.3"
"Haifa University Man 10/1975-04/2023","03/04/2002","1.0"
"Haifa University Man 10/1975-04/2023","06/04/2002","0.4"
"Haifa University Man 10/1975-04/2023","18/04/2002","2.7"
"Haifa University Man 10/1975-04/2023","19/04/2002","4.3"
"Haifa University Man 10/1975-04/2023","20/04/2002","5.0"
"Haifa University Man 10/1975-04/2023","21/04/2002","0.8"
"Haifa University Man 10/1975-04/2023","13/05/2002","0.3"
"Haifa University Man 10/1975-04/2023","03/10/2002","1.6"
"Haifa University Man 10/1975-04/2023","15/10/2002","0.2"
"Haifa University Man 10/1975-04/2023","16/10/2002","7.3"
"Haifa University Man 10/1975-04/2023","20/10/2002","0.1"
"Haifa University Man 10/1975-04/2023","09/11/2002","0.1"
"Haifa University Man 10/1975-04/2023","11/11/2002","19.3"
"Haifa University Man 10/1975-04/2023","12/11/2002","11.8"
"Haifa University Man 10/1975-04/2023","23/11/2002","3.6"
"Haifa University Man 10/1975-04/2023","24/11/2002","8.2"
"Haifa University Man 10/1975-04/2023","29/11/2002","2.1"
"Haifa University Man 10/1975-04/2023","08/12/2002","1.0"
"Haifa University Man 10/1975-04/2023","09/12/2002","53.8"
"Haifa University Man 10/1975-04/2023","10/12/2002","10.6"
"Haifa University Man 10/1975-04/2023","11/12/2002","18.4"
"Haifa University Man 10/1975-04/2023","12/12/2002","0.1"
"Haifa University Man 10/1975-04/2023","15/12/2002","9.8"
"Haifa University Man 10/1975-04/2023","16/12/2002","2.6"
"Haifa University Man 10/1975-04/2023","17/12/2002","57.0"
"Haifa University Man 10/1975-04/2023","18/12/2002","12.9"
"Haifa University Man 10/1975-04/2023","19/12/2002","49.6"
"Haifa University Man 10/1975-04/2023","20/12/2002","19.0"
"Haifa University Man 10/1975-04/2023","21/12/2002","2.0"
"Haifa University Man 10/1975-04/2023","22/12/2002","0.4"
"Haifa University Man 10/1975-04/2023","23/12/2002","4.7"
"Haifa University Man 10/1975-04/2023","24/12/2002","26.4"
"Haifa University Man 10/1975-04/2023","25/12/2002","7.4"
"Haifa University Man 10/1975-04/2023","26/12/2002","1.5"
"Haifa University Man 10/1975-04/2023","30/12/2002","8.0"
"Haifa University Man 10/1975-04/2023","02/01/2003","19.8"
"Haifa University Man 10/1975-04/2023","03/01/2003","10.0"
"Haifa University Man 10/1975-04/2023","04/01/2003","2.0"
"Haifa University Man 10/1975-04/2023","14/01/2003","0.9"
"Haifa University Man 10/1975-04/2023","15/01/2003","1.1"
"Haifa University Man 10/1975-04/2023","17/01/2003","1.0"
"Haifa University Man 10/1975-04/2023","19/01/2003","1.8"
"Haifa University Man 10/1975-04/2023","20/01/2003","14.3"
"Haifa University Man 10/1975-04/2023","21/01/2003","0.7"
"Haifa University Man 10/1975-04/2023","22/01/2003","1.3"
"Haifa University Man 10/1975-04/2023","27/01/2003","24.2"
"Haifa University Man 10/1975-04/2023","28/01/2003","24.5"
"Haifa University Man 10/1975-04/2023","29/01/2003","19.5"
"Haifa University Man 10/1975-04/2023","30/01/2003","1.0"
"Haifa University Man 10/1975-04/2023","03/02/2003","56.9"
"Haifa University Man 10/1975-04/2023","04/02/2003","15.8"
"Haifa University Man 10/1975-04/2023","05/02/2003","5.3"
"Haifa University Man 10/1975-04/2023","07/02/2003","13.0"
"Haifa University Man 10/1975-04/2023","08/02/2003","10.6"
"Haifa University Man 10/1975-04/2023","09/02/2003","10.6"
"Haifa University Man 10/1975-04/2023","10/02/2003","3.4"
"Haifa University Man 10/1975-04/2023","11/02/2003","2.9"
"Haifa University Man 10/1975-04/2023","13/02/2003","0.7"
"Haifa University Man 10/1975-04/2023","14/02/2003","24.3"
"Haifa University Man 10/1975-04/2023","15/02/2003","10.0"
"Haifa University Man 10/1975-04/2023","18/02/2003","5.8"
"Haifa University Man 10/1975-04/2023","19/02/2003","10.0"
"Haifa University Man 10/1975-04/2023","20/02/2003","25.0"
"Haifa University Man 10/1975-04/2023","21/02/2003","30.0"
"Haifa University Man 10/1975-04/2023","22/02/2003","0.1"
"Haifa University Man 10/1975-04/2023","23/02/2003","3.6"
"Haifa University Man 10/1975-04/2023","24/02/2003","12.2"
"Haifa University Man 10/1975-04/2023","25/02/2003","7.3"
"Haifa University Man 10/1975-04/2023","26/02/2003","9.8"
"Haifa University Man 10/1975-04/2023","27/02/2003","10.7"
"Haifa University Man 10/1975-04/2023","28/02/2003","0.2"
"Haifa University Man 10/1975-04/2023","03/03/2003","7.7"
"Haifa University Man 10/1975-04/2023","05/03/2003","0.2"
"Haifa University Man 10/1975-04/2023","06/03/2003","14.0"
"Haifa University Man 10/1975-04/2023","11/03/2003","0.8"
"Haifa University Man 10/1975-04/2023","12/03/2003","11.5"
"Haifa University Man 10/1975-04/2023","18/03/2003","30.6"
"Haifa University Man 10/1975-04/2023","19/03/2003","11.8"
"Haifa University Man 10/1975-04/2023","20/03/2003","5.5"
"Haifa University Man 10/1975-04/2023","21/03/2003","10.0"
"Haifa University Man 10/1975-04/2023","22/03/2003","7.0"
"Haifa University Man 10/1975-04/2023","23/03/2003","19.9"
"Haifa University Man 10/1975-04/2023","24/03/2003","67.1"
"Haifa University Man 10/1975-04/2023","25/03/2003","25.0"
"Haifa University Man 10/1975-04/2023","14/04/2003","0.8"
"Haifa University Man 10/1975-04/2023","15/04/2003","0.7"
"Haifa University Man 10/1975-04/2023","20/04/2003","12.0"
"Haifa University Man 10/1975-04/2023","21/04/2003","0.2"
"Haifa University Man 10/1975-04/2023","26/04/2003","11.0"
"Haifa University Man 10/1975-04/2023","27/04/2003","1.7"
"Haifa University Man 10/1975-04/2023","29/05/2003","0.0"
"Haifa University Man 10/1975-04/2023","30/05/2003","0.0"
"Haifa University Man 10/1975-04/2023","31/05/2003","3.0"
"Haifa University Man 10/1975-04/2023","02/10/2003","6.3"
"Haifa University Man 10/1975-04/2023","08/11/2003","1.3"
