"Station","date-","Maximum Temperature (°C)","Minimum Temperature (°C)"
"Haifa Technion 01/1995-04/2023","01/01/2000","22.8","15.5"
"Haifa Technion 01/1995-04/2023","02/01/2000","19.8","13.0"
"Haifa Technion 01/1995-04/2023","03/01/2000","18.2","13.4"
"Haifa Technion 01/1995-04/2023","04/01/2000","14.7","10.4"
"Haifa Technion 01/1995-04/2023","05/01/2000","12.7","4.5"
"Haifa Technion 01/1995-04/2023","06/01/2000","13.5","6.3"
"Haifa Technion 01/1995-04/2023","07/01/2000","12.9","8.1"
"Haifa Technion 01/1995-04/2023","08/01/2000","15.2","8.3"
"Haifa Technion 01/1995-04/2023","09/01/2000","14.3","8.4"
"Haifa Technion 01/1995-04/2023","10/01/2000","14.3","9.2"
"Haifa Technion 01/1995-04/2023","11/01/2000","13.3","7.3"
"Haifa Technion 01/1995-04/2023","12/01/2000","13.1","6.2"
"Haifa Technion 01/1995-04/2023","13/01/2000","13.2","7.7"
"Haifa Technion 01/1995-04/2023","14/01/2000","13.7","6.8"
"Haifa Technion 01/1995-04/2023","15/01/2000","13.7","8.7"
"Haifa Technion 01/1995-04/2023","16/01/2000","13.0","6.5"
"Haifa Technion 01/1995-04/2023","17/01/2000","13.1","6.1"
"Haifa Technion 01/1995-04/2023","18/01/2000","14.9","7.4"
"Haifa Technion 01/1995-04/2023","19/01/2000","15.6","10.0"
"Haifa Technion 01/1995-04/2023","20/01/2000","14.4","8.7"
"Haifa Technion 01/1995-04/2023","21/01/2000","11.1","6.5"
"Haifa Technion 01/1995-04/2023","22/01/2000","11.4","6.5"
"Haifa Technion 01/1995-04/2023","23/01/2000","12.4","8.3"
"Haifa Technion 01/1995-04/2023","24/01/2000","16.0","6.8"
"Haifa Technion 01/1995-04/2023","25/01/2000","16.9","11.1"
"Haifa Technion 01/1995-04/2023","26/01/2000","14.4","10.3"
"Haifa Technion 01/1995-04/2023","27/01/2000","11.0","3.8"
"Haifa Technion 01/1995-04/2023","28/01/2000","8.6","1.7"
"Haifa Technion 01/1995-04/2023","29/01/2000","13.0","6.9"
"Haifa Technion 01/1995-04/2023","30/01/2000","13.6","5.9"
"Haifa Technion 01/1995-04/2023","31/01/2000","15.9","7.5"
"Haifa Technion 01/1995-04/2023","01/02/2000","15.4","8.0"
"Haifa Technion 01/1995-04/2023","02/02/2000","15.3","9.5"
"Haifa Technion 01/1995-04/2023","03/02/2000","16.9","7.8"
"Haifa Technion 01/1995-04/2023","04/02/2000","18.7","10.4"
"Haifa Technion 01/1995-04/2023","05/02/2000","15.6","10.8"
"Haifa Technion 01/1995-04/2023","06/02/2000","13.0","8.3"
"Haifa Technion 01/1995-04/2023","07/02/2000","13.1","6.9"
"Haifa Technion 01/1995-04/2023","08/02/2000","14.9","6.8"
"Haifa Technion 01/1995-04/2023","09/02/2000","14.8","6.3"
"Haifa Technion 01/1995-04/2023","10/02/2000","16.1","8.8"
"Haifa Technion 01/1995-04/2023","11/02/2000","19.5","12.0"
"Haifa Technion 01/1995-04/2023","12/02/2000","19.0","12.1"
"Haifa Technion 01/1995-04/2023","13/02/2000","13.7","10.2"
"Haifa Technion 01/1995-04/2023","14/02/2000","15.9","10.1"
"Haifa Technion 01/1995-04/2023","15/02/2000","17.3","10.2"
"Haifa Technion 01/1995-04/2023","16/02/2000","13.1","9.6"
"Haifa Technion 01/1995-04/2023","17/02/2000","15.1","9.2"
