Date,Diffused radiation (W/m^2),Global radiation (W/m^2),Relative humidity (%),Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Rainfall (mm),day,month,year
2000-01-01,25.34027777777778,115.15277777777777,0.0,19.15,22.8,15.5,0.0,1,1,2000
2000-01-02,56.80555555555556,77.98611111111111,0.0,16.4,19.8,13.0,0.0,2,1,2000
2000-01-03,43.15972222222222,51.541666666666664,0.0,15.8,18.2,13.4,22.0,3,1,2000
2000-01-04,32.625,34.979166666666664,0.0,12.55,14.7,10.4,43.0,4,1,2000
2000-01-05,12.340277777777779,12.895833333333334,0.0,8.6,12.7,4.5,54.4,5,1,2000
2000-01-06,32.423611111111114,92.77777777777777,0.0,9.9,13.5,6.3,3.6,6,1,2000
2000-01-07,37.75694444444444,41.46527777777778,0.0,10.5,12.9,8.1,4.2,7,1,2000
2000-01-08,50.43055555555556,86.375,0.0,11.75,15.2,8.3,14.0,8,1,2000
2000-01-09,34.52777777777778,91.83333333333333,0.0,11.350000000000001,14.3,8.4,5.4,9,1,2000
2000-01-10,39.00694444444444,84.84027777777777,0.0,11.75,14.3,9.2,1.7,10,1,2000
2000-01-11,35.09722222222222,126.70138888888889,0.0,10.3,13.3,7.3,0.0,11,1,2000
2000-01-12,42.9375,96.97222222222223,0.0,9.65,13.1,6.2,0.3,12,1,2000
2000-01-13,19.541666666666668,135.63888888888889,0.0,10.45,13.2,7.7,0.0,13,1,2000
2000-01-14,22.9375,131.95833333333334,0.0,10.25,13.7,6.8,0.0,14,1,2000
2000-01-15,48.30555555555556,116.86111111111111,0.0,11.2,13.7,8.7,0.0,15,1,2000
2000-01-16,26.13888888888889,130.9375,0.0,9.75,13.0,6.5,0.0,16,1,2000
2000-01-17,34.013888888888886,127.81944444444444,0.0,9.6,13.1,6.1,0.0,17,1,2000
2000-01-18,38.020833333333336,55.875,0.0,11.15,14.9,7.4,20.3,18,1,2000
2000-01-19,36.55555555555556,87.45138888888889,0.0,12.8,15.6,10.0,10.8,19,1,2000
2000-01-20,28.48611111111111,51.6875,0.0,11.55,14.4,8.7,30.5,20,1,2000
2000-01-21,47.611111111111114,60.09722222222222,0.0,8.8,11.1,6.5,14.5,21,1,2000
2000-01-22,58.93055555555556,82.77083333333333,0.0,8.95,11.4,6.5,19.2,22,1,2000
2000-01-23,41.03496503496503,56.76923076923077,0.0,10.350000000000001,12.4,8.3,21.0,23,1,2000
2000-01-24,36.013888888888886,130.81944444444446,0.0,11.4,16.0,6.8,0.0,24,1,2000
2000-01-25,39.72222222222222,111.06944444444444,0.0,14.0,16.9,11.1,15.2,25,1,2000
2000-01-26,37.861111111111114,58.52777777777778,0.0,12.350000000000001,14.4,10.3,16.1,26,1,2000
2000-01-27,8.75,9.20138888888889,0.0,7.4,11.0,3.8,69.0,27,1,2000
2000-01-28,49.923611111111114,87.8125,0.0,5.1499999999999995,8.6,1.7,19.3,28,1,2000
2000-01-29,37.173611111111114,119.09722222222223,0.0,9.95,13.0,6.9,0.0,29,1,2000
2000-01-30,30.21527777777778,146.125,0.0,9.75,13.6,5.9,0.0,30,1,2000
2000-01-31,18.34722222222222,157.84722222222223,0.0,11.7,15.9,7.5,0.0,31,1,2000
2000-02-01,54.05555555555556,102.65277777777777,0.0,11.7,15.4,8.0,0.0,1,2,2000
2000-02-02,44.72222222222222,96.35416666666667,0.0,12.4,15.3,9.5,0.0,2,2,2000
2000-02-03,18.59027777777778,161.01388888888889,0.0,12.35,16.9,7.8,0.0,3,2,2000
2000-02-04,20.65277777777778,161.95833333333334,0.0,14.55,18.7,10.4,0.0,4,2,2000
2000-02-05,43.15277777777778,96.65277777777777,0.0,13.2,15.6,10.8,3.2,5,2,2000
2000-02-06,49.854166666666664,61.13194444444444,0.0,10.65,13.0,8.3,0.0,6,2,2000
2000-02-07,57.083333333333336,126.05555555555556,0.0,10.0,13.1,6.9,0.0,7,2,2000
2000-02-08,18.615942028985508,150.31159420289856,0.0,10.85,14.9,6.8,0.0,8,2,2000
2000-02-09,42.763888888888886,103.99305555555556,0.0,10.55,14.8,6.3,0.0,9,2,2000
2000-02-10,58.44444444444444,121.06944444444444,0.0,12.450000000000001,16.1,8.8,0.0,10,2,2000
2000-02-11,28.055555555555557,165.04166666666666,0.0,15.75,19.5,12.0,0.0,11,2,2000
2000-02-12,62.166666666666664,100.38888888888889,0.0,15.55,19.0,12.1,8.9,12,2,2000
2000-02-13,39.90972222222222,49.25694444444444,0.0,11.95,13.7,10.2,10.0,13,2,2000
2000-02-14,50.25694444444444,148.45833333333334,0.0,13.0,15.9,10.1,0.8,14,2,2000
2000-02-15,50.395833333333336,154.75,0.0,13.75,17.3,10.2,28.4,15,2,2000
2000-02-16,46.46527777777778,56.5,0.0,11.35,13.1,9.6,5.9,16,2,2000
2000-02-17,48.083333333333336,133.80555555555554,0.0,12.149999999999999,15.1,9.2,0.0,17,2,2000
2000-02-18,24.03472222222222,188.8125,0.0,13.149999999999999,17.7,8.6,0.0,18,2,2000
2000-02-19,36.88194444444444,141.59027777777777,0.0,14.15,17.8,10.5,0.9,19,2,2000
2000-02-20,75.80555555555556,108.81944444444444,0.0,12.9,15.4,10.4,0.0,20,2,2000
2000-02-21,21.208333333333332,194.83333333333334,0.0,12.15,16.1,8.2,0.0,21,2,2000
2000-02-22,37.791666666666664,171.26388888888889,0.0,13.350000000000001,16.3,10.4,1.6,22,2,2000
2000-02-23,79.04166666666667,106.70833333333333,0.0,12.5,14.7,10.3,2.4,23,2,2000
2000-02-24,45.013888888888886,159.15972222222223,0.0,11.7,14.4,9.0,1.0,24,2,2000
2000-02-25,33.36805555555556,197.41666666666666,0.0,12.2,14.9,9.5,0.0,25,2,2000
2000-02-26,54.354166666666664,168.25694444444446,0.0,11.35,14.5,8.2,2.0,26,2,2000
2000-02-27,71.69444444444444,133.14583333333334,0.0,11.75,14.2,9.3,0.0,27,2,2000
2000-02-28,81.13888888888889,105.70833333333333,0.0,10.95,13.8,8.1,0.0,28,2,2000
2000-02-29,36.36805555555556,196.25694444444446,0.0,12.25,16.3,8.2,6.1,29,2,2000
2000-03-01,56.548611111111114,122.4375,0.0,11.0,14.0,8.0,10.1,1,3,2000
2000-03-02,65.18055555555556,163.82638888888889,0.0,11.600000000000001,14.8,8.4,0.0,2,3,2000
2000-03-03,44.513888888888886,198.74305555555554,0.0,13.049999999999999,16.9,9.2,0.0,3,3,2000
2000-03-04,53.9375,121.75,0.0,12.6,15.2,10.0,20.0,4,3,2000
2000-03-05,70.38194444444444,157.02083333333334,0.0,13.0,16.2,9.8,0.0,5,3,2000
2000-03-06,45.30555555555556,192.15972222222223,0.0,12.25,15.1,9.4,3.5,6,3,2000
2000-03-07,63.38194444444444,104.84722222222223,0.0,10.75,13.7,7.8,0.0,7,3,2000
2000-03-08,62.854166666666664,201.65972222222223,0.0,9.4,11.8,7.0,0.0,8,3,2000
2000-03-09,52.4375,152.52777777777777,0.0,9.649999999999999,13.7,5.6,0.0,9,3,2000
2000-03-10,41.888888888888886,204.09027777777777,0.0,11.6,16.0,7.2,0.0,10,3,2000
2000-03-11,64.8951048951049,150.30769230769232,0.0,13.05,15.4,10.7,2.1,11,3,2000
2000-03-12,69.54166666666667,151.70138888888889,0.0,14.2,16.5,11.9,0.0,12,3,2000
2000-03-13,70.47222222222223,160.21527777777777,0.0,13.6,16.0,11.2,0.0,13,3,2000
2000-03-14,41.833333333333336,225.41666666666666,0.0,13.299999999999999,16.9,9.7,0.0,14,3,2000
2000-03-15,48.638888888888886,220.94444444444446,0.0,13.4,17.1,9.7,0.0,15,3,2000
2000-03-16,47.30555555555556,228.20833333333334,0.0,13.9,17.8,10.0,0.0,16,3,2000
2000-03-17,59.375,219.86805555555554,0.0,16.25,20.6,11.9,0.0,17,3,2000
2000-03-18,50.826388888888886,181.79166666666666,0.0,15.799999999999999,19.9,11.7,0.0,18,3,2000
2000-03-19,47.520833333333336,238.79861111111111,0.0,12.899999999999999,16.7,9.1,0.0,19,3,2000
2000-03-20,77.125,183.625,0.0,13.75,17.4,10.1,0.0,20,3,2000
2000-03-21,45.93055555555556,53.0625,0.0,12.649999999999999,14.6,10.7,6.1,21,3,2000
2000-03-22,86.15972222222223,158.83333333333334,0.0,12.649999999999999,15.1,10.2,10.0,22,3,2000
2000-03-23,66.26388888888889,119.91666666666667,0.0,10.85,13.5,8.2,14.0,23,3,2000
2000-03-24,70.63888888888889,178.26388888888889,0.0,11.1,15.9,6.3,0.0,24,3,2000
2000-03-25,72.45833333333333,187.42361111111111,0.0,13.9,16.5,11.3,0.0,25,3,2000
2000-03-26,46.36805555555556,247.92361111111111,0.0,13.2,17.0,9.4,0.0,26,3,2000
2000-03-27,34.951388888888886,253.02777777777777,0.0,14.95,19.5,10.4,0.0,27,3,2000
